time,message
2025-02-04 20:56:30.642679, Alex massage: Hello
2025-02-04 20:56:54.225000, Lir massage: Hello
2025-02-04 20:57:02.317210, Kesem massage: Hello
2025-02-04 21:11:46.480564, Lir massage: hello
2025-02-04 21:29:00.003211, Lir massage: hello
2025-02-04 21:29:14.379798, Lir massage: lir
2025-02-04 21:33:58.100014, Kesem massage: hello
2025-02-04 21:34:23.428532, Alex massage: hello
2025-02-04 21:37:59.865623, Kesem massage: hello
2025-02-04 21:41:17.766527, Kesem massage: hello
2025-02-04 21:42:13.302084, Kesem massage: hello
2025-02-04 21:44:39.651903, Alex massage: hello
2025-02-04 21:46:16.784515, Alex massage: temp
2025-02-04 21:47:24.671863, Alex massage: hello its alex
2025-02-09 16:35:33.547893, Lir massage: i love salsa
